zip,service_type,subregion
1012,electricity,NEWE
1013,electricity,NEWE
1014,electricity,NEWE
1020,electricity,NEWE
1021,electricity,NEWE
1022,electricity,NEWE
1026,electricity,NEWE
1027,electricity,NEWE
1028,electricity,NEWE
1029,electricity,NEWE
1030,electricity,NEWE
1031,electricity,NEWE
1032,electricity,NEWE
1033,electricity,NEWE
1034,electricity,NEWE
1035,electricity,NEWE
1036,electricity,NEWE
1037,electricity,NEWE
1038,electricity,NEWE
1039,electricity,NEWE
1040,electricity,NEWE
1041,electricity,NEWE
1050,electricity,NEWE
1053,electricity,NEWE
1054,electricity,NEWE
1056,electricity,NEWE
1057,electricity,NEWE
1059,electricity,NEWE
1060,electricity,NEWE
1061,electricity,NEWE
1062,electricity,NEWE
1063,electricity,NEWE
1066,electricity,NEWE
1068,electricity,NEWE
1069,electricity,NEWE
1070,electricity,NEWE
1071,electricity,NEWE
1072,electricity,NEWE
1073,electricity,NEWE
1074,electricity,NEWE
1075,electricity,NEWE
1077,electricity,NEWE
1079,electricity,NEWE
1080,electricity,NEWE
1081,electricity,NEWE
1082,electricity,NEWE
1083,electricity,NEWE
1084,electricity,NEWE
1085,electricity,NEWE
1086,electricity,NEWE
1088,electricity,NEWE
1089,electricity,NEWE
1090,electricity,NEWE
1092,electricity,NEWE
1093,electricity,NEWE
1094,electricity,NEWE
1095,electricity,NEWE
1096,electricity,NEWE
1097,electricity,NEWE
1098,electricity,NEWE
1101,electricity,NEWE
1102,electricity,NEWE
1103,electricity,NEWE
1104,electricity,NEWE
1105,electricity,NEWE
1106,electricity,NEWE
1107,electricity,NEWE
1108,electricity,NEWE
1109,electricity,NEWE
1111,electricity,NEWE
1115,electricity,NEWE
1116,electricity,NEWE
1118,electricity,NEWE
1119,electricity,NEWE
1128,electricity,NEWE
1129,electricity,NEWE
1138,electricity,NEWE
1139,electricity,NEWE
1144,electricity,NEWE
1151,electricity,NEWE
1152,electricity,NEWE
1199,electricity,NEWE
1201,electricity,NEWE
1202,electricity,NEWE
1203,electricity,NEWE
1220,electricity,NEWE
1222,electricity,NEWE
1223,electricity,NEWE
1224,electricity,NEWE
1225,electricity,NEWE
1226,electricity,NEWE
1227,electricity,NEWE
1229,electricity,NEWE
1230,electricity,NEWE
1235,electricity,NEWE
1236,electricity,NEWE
1237,electricity,NEWE
1238,electricity,NEWE
1240,electricity,NEWE
1242,electricity,NEWE
1243,electricity,NEWE
1244,electricity,NEWE
1245,electricity,NEWE
1247,electricity,NEWE
1252,electricity,NEWE
1253,electricity,NEWE
1254,electricity,NEWE
1255,electricity,NEWE
1256,electricity,NEWE
1257,electricity,NEWE
1258,electricity,NEWE
1259,electricity,NEWE
1260,electricity,NEWE
1262,electricity,NEWE
1263,electricity,NEWE
1264,electricity,NEWE
1266,electricity,NEWE
1267,electricity,NEWE
1270,electricity,NEWE
1301,electricity,NEWE
1302,electricity,NEWE
1330,electricity,NEWE
1331,electricity,NEWE
1337,electricity,NEWE
1338,electricity,NEWE
1339,electricity,NEWE
1340,electricity,NEWE
1341,electricity,NEWE
1342,electricity,NEWE
1343,electricity,NEWE
1344,electricity,NEWE
1346,electricity,NEWE
1347,electricity,NEWE
1349,electricity,NEWE
1350,electricity,NEWE
1351,electricity,NEWE
1354,electricity,NEWE
1355,electricity,NEWE
1360,electricity,NEWE
1364,electricity,NEWE
1366,electricity,NEWE
1367,electricity,NEWE
1368,electricity,NEWE
1370,electricity,NEWE
1373,electricity,NEWE
1375,electricity,NEWE
1376,electricity,NEWE
1378,electricity,NEWE
1379,electricity,NEWE
1380,electricity,NEWE
1420,electricity,NEWE
1430,electricity,NEWE
1431,electricity,NEWE
1432,electricity,NEWE
1434,electricity,NEWE
1436,electricity,NEWE
1438,electricity,NEWE
1440,electricity,NEWE
1441,electricity,NEWE
1450,electricity,NEWE
1451,electricity,NEWE
1452,electricity,NEWE
1453,electricity,NEWE
1460,electricity,NEWE
1462,electricity,NEWE
1463,electricity,NEWE
1464,electricity,NEWE
1467,electricity,NEWE
1468,electricity,NEWE
1469,electricity,NEWE
1470,electricity,NEWE
1471,electricity,NEWE
1472,electricity,NEWE
1473,electricity,NEWE
1474,electricity,NEWE
1475,electricity,NEWE
1477,electricity,NEWE
1501,electricity,NEWE
1503,electricity,NEWE
1504,electricity,NEWE
1505,electricity,NEWE
1506,electricity,NEWE
1507,electricity,NEWE
1508,electricity,NEWE
1509,electricity,NEWE
1510,electricity,NEWE
1515,electricity,NEWE
1516,electricity,NEWE
1517,electricity,NEWE
1518,electricity,NEWE
1519,electricity,NEWE
1520,electricity,NEWE
1521,electricity,NEWE
1522,electricity,NEWE
1523,electricity,NEWE
1524,electricity,NEWE
1525,electricity,NEWE
1526,electricity,NEWE
1527,electricity,NEWE
1529,electricity,NEWE
1531,electricity,NEWE
1532,electricity,NEWE
1534,electricity,NEWE
1535,electricity,NEWE
1536,electricity,NEWE
1537,electricity,NEWE
1538,electricity,NEWE
1540,electricity,NEWE
1541,electricity,NEWE
1542,electricity,NEWE
1543,electricity,NEWE
1545,electricity,NEWE
1546,electricity,NEWE
1550,electricity,NEWE
1560,electricity,NEWE
1561,electricity,NEWE
1562,electricity,NEWE
1564,electricity,NEWE
1566,electricity,NEWE
1568,electricity,NEWE
1569,electricity,NEWE
1570,electricity,NEWE
1571,electricity,NEWE
1580,electricity,NEWE
1581,electricity,NEWE
1582,electricity,NEWE
1583,electricity,NEWE
1585,electricity,NEWE
1586,electricity,NEWE
1588,electricity,NEWE
1590,electricity,NEWE
1601,electricity,NEWE
1602,electricity,NEWE
1603,electricity,NEWE
1604,electricity,NEWE
1605,electricity,NEWE
1606,electricity,NEWE
1607,electricity,NEWE
1608,electricity,NEWE
1609,electricity,NEWE
1610,electricity,NEWE
1611,electricity,NEWE
1612,electricity,NEWE
1613,electricity,NEWE
1614,electricity,NEWE
1615,electricity,NEWE
1653,electricity,NEWE
1654,electricity,NEWE
1655,electricity,NEWE
1701,electricity,NEWE
1702,electricity,NEWE
1703,electricity,NEWE
1704,electricity,NEWE
1705,electricity,NEWE
1718,electricity,NEWE
1719,electricity,NEWE
1720,electricity,NEWE
1721,electricity,NEWE
1730,electricity,NEWE
1731,electricity,NEWE
1740,electricity,NEWE
1741,electricity,NEWE
1742,electricity,NEWE
1745,electricity,NEWE
1746,electricity,NEWE
1747,electricity,NEWE
1748,electricity,NEWE
1749,electricity,NEWE
1752,electricity,NEWE
1754,electricity,NEWE
1756,electricity,NEWE
1757,electricity,NEWE
1760,electricity,NEWE
1770,electricity,NEWE
1772,electricity,NEWE
1773,electricity,NEWE
1775,electricity,NEWE
1776,electricity,NEWE
1778,electricity,NEWE
1784,electricity,NEWE
1801,electricity,NEWE
1803,electricity,NEWE
1805,electricity,NEWE
1807,electricity,NEWE
1810,electricity,NEWE
1812,electricity,NEWE
1813,electricity,NEWE
1815,electricity,NEWE
1821,electricity,NEWE
1822,electricity,NEWE
1824,electricity,NEWE
1826,electricity,NEWE
1827,electricity,NEWE
1830,electricity,NEWE
1831,electricity,NEWE
1832,electricity,NEWE
1833,electricity,NEWE
1834,electricity,NEWE
1835,electricity,NEWE
1840,electricity,NEWE
1841,electricity,NEWE
1842,electricity,NEWE
1843,electricity,NEWE
1844,electricity,NEWE
1845,electricity,NEWE
1850,electricity,NEWE
1851,electricity,NEWE
1852,electricity,NEWE
1853,electricity,NEWE
1854,electricity,NEWE
1860,electricity,NEWE
1862,electricity,NEWE
1863,electricity,NEWE
1864,electricity,NEWE
1865,electricity,NEWE
1866,electricity,NEWE
1867,electricity,NEWE
1876,electricity,NEWE
1879,electricity,NEWE
1880,electricity,NEWE
1885,electricity,NEWE
1886,electricity,NEWE
1887,electricity,NEWE
1888,electricity,NEWE
1889,electricity,NEWE
1890,electricity,NEWE
1899,electricity,NEWE
1901,electricity,NEWE
1902,electricity,NEWE
1903,electricity,NEWE
1904,electricity,NEWE
1905,electricity,NEWE
1906,electricity,NEWE
1907,electricity,NEWE
1908,electricity,NEWE
1910,electricity,NEWE
1913,electricity,NEWE
1915,electricity,NEWE
1921,electricity,NEWE
1922,electricity,NEWE
1923,electricity,NEWE
1929,electricity,NEWE
1930,electricity,NEWE
1931,electricity,NEWE
1936,electricity,NEWE
1937,electricity,NEWE
1938,electricity,NEWE
1940,electricity,NEWE
1944,electricity,NEWE
1945,electricity,NEWE
1949,electricity,NEWE
1950,electricity,NEWE
1951,electricity,NEWE
1952,electricity,NEWE
1960,electricity,NEWE
1961,electricity,NEWE
1965,electricity,NEWE
1966,electricity,NEWE
1969,electricity,NEWE
1970,electricity,NEWE
1971,electricity,NEWE
1982,electricity,NEWE
1983,electricity,NEWE
1984,electricity,NEWE
1985,electricity,NEWE
2018,electricity,NEWE
2019,electricity,NEWE
2020,electricity,NEWE
2021,electricity,NEWE
2025,electricity,NEWE
2026,electricity,NEWE
2027,electricity,NEWE
2030,electricity,NEWE
2032,electricity,NEWE
2035,electricity,NEWE
2038,electricity,NEWE
2040,electricity,NEWE
2041,electricity,NEWE
2043,electricity,NEWE
2044,electricity,NEWE
2045,electricity,NEWE
2047,electricity,NEWE
2048,electricity,NEWE
2050,electricity,NEWE
2051,electricity,NEWE
2052,electricity,NEWE
2053,electricity,NEWE
2054,electricity,NEWE
2055,electricity,NEWE
2056,electricity,NEWE
2059,electricity,NEWE
2060,electricity,NEWE
2061,electricity,NEWE
2062,electricity,NEWE
2065,electricity,NEWE
2066,electricity,NEWE
2067,electricity,NEWE
2070,electricity,NEWE
2071,electricity,NEWE
2072,electricity,NEWE
2081,electricity,NEWE
2090,electricity,NEWE
2093,electricity,NEWE
2101,electricity,NEWE
2108,electricity,NEWE
2109,electricity,NEWE
2110,electricity,NEWE
2111,electricity,NEWE
2112,electricity,NEWE
2113,electricity,NEWE
2114,electricity,NEWE
2115,electricity,NEWE
2116,electricity,NEWE
2117,electricity,NEWE
2118,electricity,NEWE
2119,electricity,NEWE
2120,electricity,NEWE
2121,electricity,NEWE
2122,electricity,NEWE
2123,electricity,NEWE
2124,electricity,NEWE
2125,electricity,NEWE
2126,electricity,NEWE
2127,electricity,NEWE
2128,electricity,NEWE
2129,electricity,NEWE
2130,electricity,NEWE
2131,electricity,NEWE
2132,electricity,NEWE
2133,electricity,NEWE
2134,electricity,NEWE
2135,electricity,NEWE
2136,electricity,NEWE
2137,electricity,NEWE
2138,electricity,NEWE
2139,electricity,NEWE
2140,electricity,NEWE
2141,electricity,NEWE
2142,electricity,NEWE
2143,electricity,NEWE
2144,electricity,NEWE
2145,electricity,NEWE
2148,electricity,NEWE
2149,electricity,NEWE
2150,electricity,NEWE
2151,electricity,NEWE
2152,electricity,NEWE
2153,electricity,NEWE
2155,electricity,NEWE
2156,electricity,NEWE
2163,electricity,NEWE
2169,electricity,NEWE
2170,electricity,NEWE
2171,electricity,NEWE
2176,electricity,NEWE
2180,electricity,NEWE
2184,electricity,NEWE
2185,electricity,NEWE
2186,electricity,NEWE
2187,electricity,NEWE
2188,electricity,NEWE
2189,electricity,NEWE
2190,electricity,NEWE
2191,electricity,NEWE
2196,electricity,NEWE
2199,electricity,NEWE
2201,electricity,NEWE
2203,electricity,NEWE
2204,electricity,NEWE
2205,electricity,NEWE
2206,electricity,NEWE
2210,electricity,NEWE
2211,electricity,NEWE
2212,electricity,NEWE
2215,electricity,NEWE
2217,electricity,NEWE
2222,electricity,NEWE
2228,electricity,NEWE
2238,electricity,NEWE
2241,electricity,NEWE
2266,electricity,NEWE
2269,electricity,NEWE
2283,electricity,NEWE
2284,electricity,NEWE
2293,electricity,NEWE
2295,electricity,NEWE
2297,electricity,NEWE
2298,electricity,NEWE
2301,electricity,NEWE
2302,electricity,NEWE
2303,electricity,NEWE
2304,electricity,NEWE
2305,electricity,NEWE
2322,electricity,NEWE
2324,electricity,NEWE
2325,electricity,NEWE
2327,electricity,NEWE
2330,electricity,NEWE
2331,electricity,NEWE
2332,electricity,NEWE
2333,electricity,NEWE
2334,electricity,NEWE
2337,electricity,NEWE
2338,electricity,NEWE
2339,electricity,NEWE
2340,electricity,NEWE
2341,electricity,NEWE
2343,electricity,NEWE
2344,electricity,NEWE
2345,electricity,NEWE
2346,electricity,NEWE
2347,electricity,NEWE
2348,electricity,NEWE
2349,electricity,NEWE
2350,electricity,NEWE
2351,electricity,NEWE
2355,electricity,NEWE
2356,electricity,NEWE
2357,electricity,NEWE
2358,electricity,NEWE
2359,electricity,NEWE
2360,electricity,NEWE
2361,electricity,NEWE
2362,electricity,NEWE
2364,electricity,NEWE
2366,electricity,NEWE
2367,electricity,NEWE
2368,electricity,NEWE
2370,electricity,NEWE
2375,electricity,NEWE
2379,electricity,NEWE
2381,electricity,NEWE
2382,electricity,NEWE
2420,electricity,NEWE
2421,electricity,NEWE
2445,electricity,NEWE
2446,electricity,NEWE
2447,electricity,NEWE
2451,electricity,NEWE
2452,electricity,NEWE
2453,electricity,NEWE
2454,electricity,NEWE
2455,electricity,NEWE
2456,electricity,NEWE
2457,electricity,NEWE
2458,electricity,NEWE
2459,electricity,NEWE
2460,electricity,NEWE
2461,electricity,NEWE
2462,electricity,NEWE
2464,electricity,NEWE
2465,electricity,NEWE
2466,electricity,NEWE
2467,electricity,NEWE
2468,electricity,NEWE
2471,electricity,NEWE
2472,electricity,NEWE
2474,electricity,NEWE
2475,electricity,NEWE
2476,electricity,NEWE
2477,electricity,NEWE
2478,electricity,NEWE
2479,electricity,NEWE
2481,electricity,NEWE
2482,electricity,NEWE
2492,electricity,NEWE
2493,electricity,NEWE
2494,electricity,NEWE
2495,electricity,NEWE
2532,electricity,NEWE
2534,electricity,NEWE
2535,electricity,NEWE
2536,electricity,NEWE
2537,electricity,NEWE
2538,electricity,NEWE
2539,electricity,NEWE
2540,electricity,NEWE
2541,electricity,NEWE
2542,electricity,NEWE
2543,electricity,NEWE
2552,electricity,NEWE
2553,electricity,NEWE
2554,electricity,NEWE
2556,electricity,NEWE
2557,electricity,NEWE
2558,electricity,NEWE
2559,electricity,NEWE
2561,electricity,NEWE
2562,electricity,NEWE
2563,electricity,NEWE
2564,electricity,NEWE
2565,electricity,NEWE
2568,electricity,NEWE
2571,electricity,NEWE
2573,electricity,NEWE
2574,electricity,NEWE
2575,electricity,NEWE
2576,electricity,NEWE
2584,electricity,NEWE
2601,electricity,NEWE
2630,electricity,NEWE
2631,electricity,NEWE
2632,electricity,NEWE
2633,electricity,NEWE
2634,electricity,NEWE
2635,electricity,NEWE
2637,electricity,NEWE
2638,electricity,NEWE
2639,electricity,NEWE
2641,electricity,NEWE
2642,electricity,NEWE
2643,electricity,NEWE
2644,electricity,NEWE
2645,electricity,NEWE
2646,electricity,NEWE
2647,electricity,NEWE
2648,electricity,NEWE
2649,electricity,NEWE
2650,electricity,NEWE
2651,electricity,NEWE
2652,electricity,NEWE
2653,electricity,NEWE
2655,electricity,NEWE
2657,electricity,NEWE
2659,electricity,NEWE
2660,electricity,NEWE
2661,electricity,NEWE
2662,electricity,NEWE
2663,electricity,NEWE
2664,electricity,NEWE
2666,electricity,NEWE
2667,electricity,NEWE
2668,electricity,NEWE
2669,electricity,NEWE
2670,electricity,NEWE
2671,electricity,NEWE
2672,electricity,NEWE
2673,electricity,NEWE
2675,electricity,NEWE
2702,electricity,NEWE
2703,electricity,NEWE
2712,electricity,NEWE
2713,electricity,NEWE
2714,electricity,NEWE
2715,electricity,NEWE
2717,electricity,NEWE
2718,electricity,NEWE
2719,electricity,NEWE
2720,electricity,NEWE
2721,electricity,NEWE
2722,electricity,NEWE
2723,electricity,NEWE
2724,electricity,NEWE
2725,electricity,NEWE
2726,electricity,NEWE
2738,electricity,NEWE
2739,electricity,NEWE
2740,electricity,NEWE
2741,electricity,NEWE
2742,electricity,NEWE
2743,electricity,NEWE
2744,electricity,NEWE
2745,electricity,NEWE
2746,electricity,NEWE
2747,electricity,NEWE
2748,electricity,NEWE
2760,electricity,NEWE
2761,electricity,NEWE
2762,electricity,NEWE
2763,electricity,NEWE
2764,electricity,NEWE
2766,electricity,NEWE
2767,electricity,NEWE
2768,electricity,NEWE
2769,electricity,NEWE
2770,electricity,NEWE
2771,electricity,NEWE
2777,electricity,NEWE
2779,electricity,NEWE
2780,electricity,NEWE
2783,electricity,NEWE
2790,electricity,NEWE
2791,electricity,NEWE
2801,electricity,NEWE
2802,electricity,NEWE
2804,electricity,NEWE
2806,electricity,NEWE
2807,electricity,NEWE
2808,electricity,NEWE
2809,electricity,NEWE
2812,electricity,NEWE
2813,electricity,NEWE
2814,electricity,NEWE
2815,electricity,NEWE
2816,electricity,NEWE
2817,electricity,NEWE
2818,electricity,NEWE
2822,electricity,NEWE
2823,electricity,NEWE
2824,electricity,NEWE
2825,electricity,NEWE
2826,electricity,NEWE
2827,electricity,NEWE
2828,electricity,NEWE
2829,electricity,NEWE
2830,electricity,NEWE
2831,electricity,NEWE
2832,electricity,NEWE
2833,electricity,NEWE
2835,electricity,NEWE
2836,electricity,NEWE
2837,electricity,NEWE
2838,electricity,NEWE
2839,electricity,NEWE
2840,electricity,NEWE
2841,electricity,NEWE
2842,electricity,NEWE
2852,electricity,NEWE
2857,electricity,NEWE
2858,electricity,NEWE
2859,electricity,NEWE
2860,electricity,NEWE
2861,electricity,NEWE
2862,electricity,NEWE
2863,electricity,NEWE
2864,electricity,NEWE
2865,electricity,NEWE
2871,electricity,NEWE
2872,electricity,NEWE
2873,electricity,NEWE
2874,electricity,NEWE
2875,electricity,NEWE
2876,electricity,NEWE
2877,electricity,NEWE
2878,electricity,NEWE
2879,electricity,NEWE
2880,electricity,NEWE
2881,electricity,NEWE
2882,electricity,NEWE
2883,electricity,NEWE
2885,electricity,NEWE
2886,electricity,NEWE
2887,electricity,NEWE
2888,electricity,NEWE
2889,electricity,NEWE
2891,electricity,NEWE
2892,electricity,NEWE
2893,electricity,NEWE
2894,electricity,NEWE
2895,electricity,NEWE
2896,electricity,NEWE
2898,electricity,NEWE
2901,electricity,NEWE
2902,electricity,NEWE
2903,electricity,NEWE
2904,electricity,NEWE
2905,electricity,NEWE
2906,electricity,NEWE
2907,electricity,NEWE
2908,electricity,NEWE
2909,electricity,NEWE
2910,electricity,NEWE
2911,electricity,NEWE
2912,electricity,NEWE
2914,electricity,NEWE
2915,electricity,NEWE
2916,electricity,NEWE
2917,electricity,NEWE
2918,electricity,NEWE
2919,electricity,NEWE
2920,electricity,NEWE
2921,electricity,NEWE
2940,electricity,NEWE
3031,electricity,NEWE
3032,electricity,NEWE
3033,electricity,NEWE
3034,electricity,NEWE
3036,electricity,NEWE
3037,electricity,NEWE
3038,electricity,NEWE
3040,electricity,NEWE
3041,electricity,NEWE
3042,electricity,NEWE
3043,electricity,NEWE
3044,electricity,NEWE
3045,electricity,NEWE
3046,electricity,NEWE
3047,electricity,NEWE
3048,electricity,NEWE
3049,electricity,NEWE
3051,electricity,NEWE
3052,electricity,NEWE
3053,electricity,NEWE
3054,electricity,NEWE
3055,electricity,NEWE
